# StitchForge floss list
# Pattern: 140 x 105 stitches, 14700 total, 25 colors
# Finished size: 10 x 7.5 in (25.4 x 19.05 cm) on 14-count
Symbol,DMC,Name,Hex,Stitches,Skeins (est.)
X,210,Lavender Medium,#C39FC3,3510,3
+,794,Cornflower Blue Light,#8F9CC1,2800,2
O,155,Blue Violet Med Dark,#9891B6,1547,2
=,209,Lavender Dark,#A37BA7,1538,2
/,3746,Blue Violet Dark,#776B98,1395,1
\,3609,Plum Ultra Light,#F4AED5,787,1
<,605,Cranberry Very Light,#FFC0CD,515,1
>,165,Moss Green Vy Lt,#EFF4A4,453,1
*,3716,Dusty Rose Med Vy Lt,#FFBDBD,410,1
#,3856,Mahogany Ult Vy Lt,#FFD3B5,363,1
@,3823,Yellow Ultra Pale,#FFFDE3,304,1
%,3771,Terra Cotta Ult Vy Lt,#F4BBA9,293,1
&,3824,Apricot Light,#FECDC2,146,1
$,3689,Mauve Light,#FBBFC2,111,1
?,727,Topaz Vy Lt,#FFF1AF,78,1
!,554,Violet Light,#DBB3CB,73,1
~,745,Yellow Pale Light,#FFE9AD,71,1
^,945,Tawny,#FBD5BB,62,1
A,3078,Golden Yellow Vy Lt,#FDF9CD,54,1
B,761,Salmon Light,#FFC9C9,44,1
C,754,Peach Light,#F7CBBF,43,1
D,739,Tan Ult Vy Lt,#F8E4C8,41,1
E,778,Antique Mauve Vy Lt,#DFB3BB,24,1
F,738,Tan Very Light,#ECCC9E,19,1
G,151,Dusty Rose Vry Lt,#F0CED4,19,1
